id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
000eeea5-f9ca-4cde-8f96-8e6c60bfb3a7,remained.boutique,available,6.99,,50,2,8,name.com,,
00144a15-bf1b-498b-a3d4-caecf6d0c7ac,dataflow.boutique,available,6.99,,70,16,9,name.com,,
0034b97e-3555-4052-952c-0e8677cec20a,couldhavesworn.boutique,available,6.99,,44,0,16,name.com,,
004ca1a8-a0cc-471f-a80c-dc57de6a7e03,manuallabour.boutique,available,6.99,,58,1,13,name.com,,
006b32bc-499c-469e-90a7-bc2107672897,letitbeknown.boutique,available,6.99,,75,1,15,name.com,,
00832e07-c8e5-43c9-953f-a1f802c73884,movesouth.boutique,available,6.99,,49,1,10,name.com,,
00c48c71-3951-4032-851e-e3027ba180f3,results.boutique,available,6.99,,59,22,7,name.com,,
00ce99cc-894a-402e-8665-7903530304b2,comeof.boutique,available,6.99,,74,1,7,name.com,,
00e8c78c-cf80-4d99-8e48-541729e3adbd,notalittle.boutique,available,6.99,,60,1,12,name.com,,
00ee5595-ae4e-45b6-82f3-b9cae8ca3c87,etc.boutique,premium,250,,58,34,3,name.com,,
00f3ba87-24d3-4cf1-8a86-13f8ff484b58,soups.boutique,available,6.99,,56,6,5,name.com,,
01012537-5cae-491a-ad65-e8f181bc2cb1,allsorts.boutique,available,6.99,,52,5,9,name.com,,
01048e45-127c-4a85-82f8-d33996503613,keyboards.boutique,available,6.99,,56,9,9,name.com,,
011a05f8-d03c-4ed0-858b-a11415bc40b7,hangbyathread.boutique,available,6.99,,56,1,16,name.com,,
01418da1-76d6-458a-b10d-a9d2c5b2b51d,desktoppublishing.boutique,available,6.99,,66,3,18,name.com,,
01639cb6-5b9d-4c80-9c2d-314ab0f0962c,manybodied.boutique,available,6.99,,68,1,11,name.com,,
018637ca-2be4-48a6-b8ea-d45fb3dc0b0e,functions.boutique,available,6.99,,54,12,9,name.com,,
01a48dd4-1c70-4860-9dd9-fc1d09beaaa8,synchronizes.boutique,available,6.99,,62,1,12,name.com,,
01bede19-609d-4107-b44b-d1ad0c31f81d,fittogether.boutique,available,6.99,,80,4,12,name.com,,
01f9bc80-9eee-4b7f-9821-c06ea8e57174,tirades.boutique,available,6.99,,46,1,7,name.com,,
